Dataset Name,model,n_estimators,accuracy,acc_std_dev,f1,f1_std_dev,g_mean,g_mean_std_dev,oracle_mean,oracle_std_dev
yeast3,AdaBoost,60,0.9204863954863954,0.014214305243143089,0.596990182692807,0.10441279486299715,0.726057025731484,0.10036701164756338,0.997979797979798,0.004040404040404022
glass6,AdaBoost,60,0.9390919158361019,0.03522917767571843,0.7521212121212122,0.15161693550903105,0.8313388480004251,0.10760307852486797,0.9765227021040974,0.021051463259719964
ecoli3,AdaBoost,70,0.9165496049165934,0.022567409832560448,0.48484848484848475,0.2737355100760294,0.5983253900613061,0.32309082312708653,1.0,0.0
segment0,AdaBoost,70,0.9952324609591422,0.002127290811831832,0.9832271355548101,0.0075814758623266604,0.9895682548598581,0.008326741102899566,1.0,0.0
vehicle2,AdaBoost,70,0.9539088061260006,0.008646014618865298,0.912759955102133,0.01633724380241107,0.9477982908303229,0.013009041549903321,1.0,0.0
yeast3,AdaBoost,70,0.9204863954863954,0.014214305243143089,0.596990182692807,0.10441279486299715,0.726057025731484,0.10036701164756338,0.997979797979798,0.004040404040404022
glass6,AdaBoost,70,0.9390919158361019,0.03522917767571843,0.7521212121212122,0.15161693550903105,0.8313388480004251,0.10760307852486797,0.9765227021040974,0.021051463259719964
ecoli3,AdaBoost,80,0.9165496049165934,0.022567409832560448,0.48484848484848475,0.2737355100760294,0.5983253900613061,0.32309082312708653,1.0,0.0
segment0,AdaBoost,80,0.9952324609591422,0.002127290811831832,0.9832271355548101,0.0075814758623266604,0.9895682548598581,0.008326741102899566,1.0,0.0
vehicle2,AdaBoost,80,0.9539088061260006,0.008646014618865298,0.912759955102133,0.01633724380241107,0.9477982908303229,0.013009041549903321,1.0,0.0
yeast3,AdaBoost,80,0.9204863954863954,0.014214305243143089,0.596990182692807,0.10441279486299715,0.726057025731484,0.10036701164756338,0.997979797979798,0.004040404040404022
glass6,AdaBoost,80,0.9390919158361019,0.03522917767571843,0.7521212121212122,0.15161693550903105,0.8313388480004251,0.10760307852486797,0.9765227021040974,0.021051463259719964
ecoli3,AdaBoost,90,0.9165496049165934,0.022567409832560448,0.48484848484848475,0.2737355100760294,0.5983253900613061,0.32309082312708653,1.0,0.0
segment0,AdaBoost,90,0.9952324609591422,0.002127290811831832,0.9832271355548101,0.0075814758623266604,0.9895682548598581,0.008326741102899566,1.0,0.0
vehicle2,AdaBoost,90,0.9539088061260006,0.008646014618865298,0.912759955102133,0.01633724380241107,0.9477982908303229,0.013009041549903321,1.0,0.0
yeast3,AdaBoost,90,0.9204863954863954,0.014214305243143089,0.596990182692807,0.10441279486299715,0.726057025731484,0.10036701164756338,0.997979797979798,0.004040404040404022
glass6,AdaBoost,90,0.9390919158361019,0.03522917767571843,0.7521212121212122,0.15161693550903105,0.8313388480004251,0.10760307852486797,0.9765227021040974,0.021051463259719964
ecoli3,AdaBoost,100,0.9165496049165934,0.022567409832560448,0.48484848484848475,0.2737355100760294,0.5983253900613061,0.32309082312708653,1.0,0.0
segment0,AdaBoost,100,0.9952324609591422,0.002127290811831832,0.9832271355548101,0.0075814758623266604,0.9895682548598581,0.008326741102899566,1.0,0.0
vehicle2,AdaBoost,100,0.9539088061260006,0.008646014618865298,0.912759955102133,0.01633724380241107,0.9477982908303229,0.013009041549903321,1.0,0.0
yeast3,AdaBoost,100,0.9204863954863954,0.014214305243143089,0.596990182692807,0.10441279486299715,0.726057025731484,0.10036701164756338,0.997979797979798,0.004040404040404022
glass6,AdaBoost,100,0.9390919158361019,0.03522917767571843,0.7521212121212122,0.15161693550903105,0.8313388480004251,0.10760307852486797,0.9765227021040974,0.021051463259719964
ecoli3,RLO,10,0.817998244073749,0.14368734963818805,0.44686421937195925,0.31653975542881635,0.6555327568254888,0.3523253708517065,0.817998244073749,0.14368734963818805
segment0,RLO,10,0.7154369852851415,0.1296209850865592,0.5310643716955815,0.16225036538700094,0.80655279500746,0.09323015895257582,0.7154369852851415,0.1296209850865592
vehicle2,RLO,10,0.8202018795683955,0.11344297567594251,0.7432122306488502,0.11607602438695326,0.8325305692378026,0.0706280701069346,0.8202018795683955,0.11344297567594251
yeast3,RLO,10,0.8692669942669943,0.036927441407210895,0.3932889664232948,0.19309005685531017,0.595059151116874,0.20776495817021326,0.8692669942669943,0.036927441407210895
glass6,RLO,10,0.8018826135105204,0.20466314750159437,0.5247125634222407,0.2800463662334486,0.6725785211381226,0.1997257748912448,0.8018826135105204,0.20466314750159437
ecoli3,RLO,20,0.8300702370500439,0.1545544551438631,0.4976190476190476,0.14559436743456877,0.7133827352169543,0.12204342220661003,0.8300702370500439,0.1545544551438631
segment0,RLO,20,0.8251054079687485,0.21561260025461085,0.7518227304592138,0.2867127523448048,0.8732695363975255,0.14820818895895202,0.8251054079687485,0.21561260025461085
vehicle2,RLO,20,0.8251096414897319,0.09657909496076382,0.7173282143327832,0.14013587178828704,0.8272288420978839,0.10953322265238873,0.8251096414897319,0.09657909496076382
yeast3,RLO,20,0.8524046774046774,0.08910951401408009,0.564585733664535,0.10171793318123522,0.7978349954847109,0.045298595402885306,0.8524046774046774,0.08910951401408009
